"","","","","5","","","1st to 07th"
"1","2","3","4","","6","7",""
"","","","","","","","41,191"
"6,415","7,164","4,703","5,676","5,258","6,058","5,917",""
"8","","","","","","","8th to 14th"
"","9","","","12","","",""
"","","10","11","","","14",""
"","","","","","13","",""
"","","","","","","","48,126"
"5,984","","5,507","","6,222","","",""
"","6,119","","9,847","","","6,863",""
"6","","","6,","","7,584","",""
"","","","","","","","15th to 21st"
"","","17","18","","","",""
"15","16","","","19","20","21",""
"","","","7,852","","","",""
"7,798","8,425","7,135","","8,653","10,649","10,734","61,246"
"","","3,658","","","","",""
