"","Sri Lanka Tourism Development Authority - Weekly Report","","","",""
"","Daily tourist arrivals, 01st to 31st August 2025","","","",""
"","1st","8th","","",""
"","","","15th","22nd",""
"","","","","",""
"","8,140","7,223","7,998","5,235","29th  4,150"
"","2nd","9th","","",""
"","","","16th  7,367","23rd 5,038",""
"","8,481","8,204","","","30th  5,022"
"","3rd","10th","17th","",""
"","","","","",""
"A","7,711","7,838","6,468","24th 
4,658","31st"
"","","","","","5,725"
"U","","","","",""
"","4th","11th","18th","",""
"","8,441","6,605","5,833","25th 4,007",""
"G","","","","",""
"","","","","",""
"U","5th","12th","19th","26th",""
"","7,274","7,188","5,713","4,250",""
"S","","","","",""
"","6th","13th","20th","27th",""
"","","","","",""
"T","6,494","8,131","5,983","3,946",""
"","7th","14th","21st","",""
"","7,676","7,987","5,080","28th  4,369",""
"","1st to 7th","","","",""
"","","8th to 14th","15th to 21st","22nd to 28th",""
"","","","","","29th to 31st"
"Total","","","","",""
"","54,217","53,176","44,442","",""
"","","","","31,503","14,897"
