doc_type	doc_id	num	date_str	description	url_metadata	lang	url_pdf
lk_tourism_weekly_reports	2025-12-01-2025-12-01	2025-12-01	2025-12-01	TOURIST ARRIVALS - 2025 - December	https://www.sltda.gov.lk/en/weekly-tourist-arrivals-reports-2025	en	https://www.sltda.gov.lk/storage/common_media/Weekly_Report_1st_to_04th_December_2025.pdf
lk_tourism_weekly_reports	2025-11-01-2025-11-01	2025-11-01	2025-11-01	TOURIST ARRIVALS - 2025 - November	https://www.sltda.gov.lk/en/weekly-tourist-arrivals-reports-2025	en	https://www.sltda.gov.lk/storage/common_media/Weekly_Report_1st_to_5th_November_2025.pdf
lk_tourism_weekly_reports	2025-10-01-2025-10-01	2025-10-01	2025-10-01	TOURIST ARRIVALS - 2025 - October	https://www.sltda.gov.lk/en/weekly-tourist-arrivals-reports-2025	en	https://www.sltda.gov.lk/storage/common_media/Weekly_Report_1st_to_6th_October_2025.pdf
lk_tourism_weekly_reports	2025-09-01-2025-09-01	2025-09-01	2025-09-01	TOURIST ARRIVALS - 2025 - September	https://www.sltda.gov.lk/en/weekly-tourist-arrivals-reports-2025	en	https://www.sltda.gov.lk/storage/common_media/Weekly_Report_1st_to_30th_September_2025.pdf
lk_tourism_weekly_reports	2025-08-01-2025-08-01	2025-08-01	2025-08-01	TOURIST ARRIVALS - 2025 - August	https://www.sltda.gov.lk/en/weekly-tourist-arrivals-reports-2025	en	https://www.sltda.gov.lk/storage/common_media/Weekly_Report_1st_to_31st_August_2025.pdf
lk_tourism_weekly_reports	2025-07-01-2025-07-01	2025-07-01	2025-07-01	TOURIST ARRIVALS - 2025 - July	https://www.sltda.gov.lk/en/weekly-tourist-arrivals-reports-2025	en	https://www.sltda.gov.lk/storage/common_media/Weekly_Report_1st_to_31st_July_2025.pdf
lk_tourism_weekly_reports	2025-06-01-2025-06-01	2025-06-01	2025-06-01	TOURIST ARRIVALS - 2025 - June	https://www.sltda.gov.lk/en/weekly-tourist-arrivals-reports-2025	en	https://www.sltda.gov.lk/storage/common_media/Weekly_Report_1st_to_30th_June_2025.pdf
lk_tourism_weekly_reports	2025-05-01-2025-05-01	2025-05-01	2025-05-01	TOURIST ARRIVALS - 2025 - May	https://www.sltda.gov.lk/en/weekly-tourist-arrivals-reports-2025	en	https://www.sltda.gov.lk/storage/common_media/Weekly_Report_1st_to_31st_May_2025.pdf
lk_tourism_weekly_reports	2025-04-01-2025-04-01	2025-04-01	2025-04-01	TOURIST ARRIVALS - 2025 - April	https://www.sltda.gov.lk/en/weekly-tourist-arrivals-reports-2025	en	https://www.sltda.gov.lk/storage/common_media/Weekly_Report_1st_to_30th_April_2025.pdf
lk_tourism_weekly_reports	2025-03-01-2025-03-01	2025-03-01	2025-03-01	TOURIST ARRIVALS - 2025 - March	https://www.sltda.gov.lk/en/weekly-tourist-arrivals-reports-2025	en	https://www.sltda.gov.lk/storage/common_media/Weekly_Report_1st_to_31st_March_2025.pdf
lk_tourism_weekly_reports	2025-02-01-2025-02-01	2025-02-01	2025-02-01	TOURIST ARRIVALS - 2025 - February	https://www.sltda.gov.lk/en/weekly-tourist-arrivals-reports-2025	en	https://www.sltda.gov.lk/storage/common_media/Weekly_Report_1st_to_28th_February_2025.pdf
lk_tourism_weekly_reports	2025-01-01-2025-01-01	2025-01-01	2025-01-01	TOURIST ARRIVALS - 2025 - January	https://www.sltda.gov.lk/en/weekly-tourist-arrivals-reports-2025	en	https://www.sltda.gov.lk/storage/common_media/Weekly_Report_1st_to_31st_January_2025.pdf
lk_tourism_weekly_reports	2024-12-01-2024-12-01	2024-12-01	2024-12-01	TOURIST ARRIVALS - 2024 - December	https://www.sltda.gov.lk/en/weekly-tourist-arrivals-reports-year-2024	en	https://www.sltda.gov.lk/storage/common_media/WeeklyReportDECEMBER-01-31.pdf
lk_tourism_weekly_reports	2024-11-01-2024-11-01	2024-11-01	2024-11-01	TOURIST ARRIVALS - 2024 - November	https://www.sltda.gov.lk/en/weekly-tourist-arrivals-reports-year-2024	en	https://www.sltda.gov.lk/storage/common_media/WeeklyReportNOVEMBER-01-30.pdf
lk_tourism_weekly_reports	2024-10-01-2024-10-01	2024-10-01	2024-10-01	TOURIST ARRIVALS - 2024 - October	https://www.sltda.gov.lk/en/weekly-tourist-arrivals-reports-year-2024	en	https://www.sltda.gov.lk/storage/common_media/WeeklyReportOCTOBER-01 -31.pdf
lk_tourism_weekly_reports	2024-09-01-2024-09-01	2024-09-01	2024-09-01	TOURIST ARRIVALS - 2024 - September	https://www.sltda.gov.lk/en/weekly-tourist-arrivals-reports-year-2024	en	https://www.sltda.gov.lk/storage/common_media/WeeklyReportSEPTEMBER-01-30.pdf
lk_tourism_weekly_reports	2024-08-01-2024-08-01	2024-08-01	2024-08-01	TOURIST ARRIVALS - 2024 - August	https://www.sltda.gov.lk/en/weekly-tourist-arrivals-reports-year-2024	en	https://www.sltda.gov.lk/storage/common_media/WeeklyReportAUGUST-01-31.pdf
lk_tourism_weekly_reports	2024-07-01-2024-07-01	2024-07-01	2024-07-01	TOURIST ARRIVALS - 2024 - July	https://www.sltda.gov.lk/en/weekly-tourist-arrivals-reports-year-2024	en	https://www.sltda.gov.lk/storage/common_media/WeeklyReportJULY-01-31.pdf
lk_tourism_weekly_reports	2024-06-01-2024-06-01	2024-06-01	2024-06-01	TOURIST ARRIVALS - 2024 - June	https://www.sltda.gov.lk/en/weekly-tourist-arrivals-reports-year-2024	en	https://www.sltda.gov.lk/storage/common_media/Weekly Report01-to-30-June.pdf
lk_tourism_weekly_reports	2024-05-01-2024-05-01	2024-05-01	2024-05-01	TOURIST ARRIVALS - 2024 - May	https://www.sltda.gov.lk/en/weekly-tourist-arrivals-reports-year-2024	en	https://www.sltda.gov.lk/storage/common_media/WeeklyReport01-31-May-2024.pdf
lk_tourism_weekly_reports	2024-04-01-2024-04-01	2024-04-01	2024-04-01	TOURIST ARRIVALS - 2024 - April	https://www.sltda.gov.lk/en/weekly-tourist-arrivals-reports-year-2024	en	https://www.sltda.gov.lk/storage/common_media/Weekly-Report-April-01-30.pdf
lk_tourism_weekly_reports	2024-03-01-2024-03-01	2024-03-01	2024-03-01	TOURIST ARRIVALS - 2024 - March	https://www.sltda.gov.lk/en/weekly-tourist-arrivals-reports-year-2024	en	https://www.sltda.gov.lk/storage/common_media/WeeklyReportMarch1-31.pdf
lk_tourism_weekly_reports	2024-02-01-2024-02-01	2024-02-01	2024-02-01	TOURIST ARRIVALS - 2024 - February	https://www.sltda.gov.lk/en/weekly-tourist-arrivals-reports-year-2024	en	https://www.sltda.gov.lk/storage/common_media/Weekly-Report-February-1-to-29-2024.pdf
lk_tourism_weekly_reports	2024-01-01-2024-01-01	2024-01-01	2024-01-01	TOURIST ARRIVALS - 2024 - January	https://www.sltda.gov.lk/en/weekly-tourist-arrivals-reports-year-2024	en	https://www.sltda.gov.lk/storage/common_media/Weekly Report - January 1st to 31 st 2024.pdf
lk_tourism_weekly_reports	2023-12-01-2023-12-01	2023-12-01	2023-12-01	TOURIST ARRIVALS - 2023 - December	https://www.sltda.gov.lk/en/weekly-tourist-arrivals-reports	en	https://www.sltda.gov.lk/storage/common_media/WeeklyArrivals-December1-31.pdf
lk_tourism_weekly_reports	2023-11-01-2023-11-01	2023-11-01	2023-11-01	TOURIST ARRIVALS - 2023 - November	https://www.sltda.gov.lk/en/weekly-tourist-arrivals-reports	en	https://www.sltda.gov.lk/storage/common_media/Weekly-Arrivals-November1- 30.pdf
lk_tourism_weekly_reports	2023-10-01-2023-10-01	2023-10-01	2023-10-01	TOURIST ARRIVALS - 2023 - October	https://www.sltda.gov.lk/en/weekly-tourist-arrivals-reports	en	https://www.sltda.gov.lk/storage/common_media/WeeklyArrivals-October-1-31st-4th-week.pdf
lk_tourism_weekly_reports	2023-09-01-2023-09-01	2023-09-01	2023-09-01	TOURIST ARRIVALS - 2023 - September	https://www.sltda.gov.lk/en/weekly-tourist-arrivals-reports	en	https://www.sltda.gov.lk/storage/common_media/Weekly-Arrivals-September-1st-30th.pdf
lk_tourism_weekly_reports	2023-08-01-2023-08-01	2023-08-01	2023-08-01	TOURIST ARRIVALS - 2023 - August	https://www.sltda.gov.lk/en/weekly-tourist-arrivals-reports	en	https://www.sltda.gov.lk/storage/common_media/WeeklyArrivalsAugustEnd.pdf
lk_tourism_weekly_reports	2023-07-01-2023-07-01	2023-07-01	2023-07-01	TOURIST ARRIVALS - 2023 - July	https://www.sltda.gov.lk/en/weekly-tourist-arrivals-reports	en	https://www.sltda.gov.lk/storage/common_media/WeeklyArrivals-JulyEnd-2023.pdf
lk_tourism_weekly_reports	2023-06-01-2023-06-01	2023-06-01	2023-06-01	TOURIST ARRIVALS - 2023 - June	https://www.sltda.gov.lk/en/weekly-tourist-arrivals-reports	en	https://www.sltda.gov.lk/storage/common_media/WeeklyArrivalsJuneEnd2023.pdf
lk_tourism_weekly_reports	2023-05-01-2023-05-01	2023-05-01	2023-05-01	TOURIST ARRIVALS - 2023 - May	https://www.sltda.gov.lk/en/weekly-tourist-arrivals-reports	en	https://www.sltda.gov.lk/storage/common_media/WeeklyArrivals4thWeekMay-1- 31.pdf
lk_tourism_weekly_reports	2023-04-01-2023-04-01	2023-04-01	2023-04-01	TOURIST ARRIVALS - 2023 - April	https://www.sltda.gov.lk/en/weekly-tourist-arrivals-reports	en	https://www.sltda.gov.lk/storage/common_media/WeeklyArrivalsApril1- 30.pdf
lk_tourism_weekly_reports	2023-03-01-2023-03-01	2023-03-01	2023-03-01	TOURIST ARRIVALS - 2023 - MARCH	https://www.sltda.gov.lk/en/weekly-tourist-arrivals-reports	en	https://www.sltda.gov.lk/storage/common_media/Weekly-Arrivals-1st-31st-March-2023.pdf
lk_tourism_weekly_reports	2023-02-01-2023-02-01	2023-02-01	2023-02-01	TOURIST ARRIVALS - 2023 - FEBRUARY	https://www.sltda.gov.lk/en/weekly-tourist-arrivals-reports	en	https://www.sltda.gov.lk/storage/common_media/Arrivals4thWeekFebruary2023.pdf
lk_tourism_weekly_reports	2023-01-01-2023-01-01	2023-01-01	2023-01-01	Tourist arrivals - 2023 - January	https://www.sltda.gov.lk/en/weekly-tourist-arrivals-reports	en	https://www.sltda.gov.lk/storage/common_media/WeeklyArrivals1-31January2023.pdf
